source_id;source;source_url
det_1427;Teck Cominco Limited (2002) Annual Report 2001;https://www.teck.com/media/Investors-2001_Annual_Report_T5.1.1.pdf
det_1428;Teck Resources Limited (2010) Annual Report 2009;https://www.teck.com/media/Investors-Teck_2009_Annual_Report_T5.1.1.pdf
det_1429;Teck Resources Limited (2009) Annual Report 2008;https://www.teck.com/media/Investors-Teck_2008_Annual_Report_T5.1.1.pdf
det_1430;Coldcorp Inc. (2019) Annual Report 2018;https://www.newmont.com/files/doc_financials/mda/annual/12.31.2018-MD-A-and-Financial-Statements.pdf
det_1431;Coldcorp Inc. (2013) Annual Report 2012;https://www.sec.gov/Archives/edgar/data/919239/000119312513087527/d482369dex992.htm
det_1432;Coldcorp Inc. (2011) Annual Report 2010;https://www.sec.gov/Archives/edgar/data/919239/000095012311031581/o68669exv99w2.htm
det_1433;Coldcorp Inc. (2005) Annual Report 2004;https://www.sec.gov/Archives/edgar/data/919239/000090956705000706/t16200exv99w3.htm
det_1434;Coldcorp Inc. (2003) Annual Report 2002;https://www.sec.gov/Archives/edgar/data/919239/000090956703000686/t09902exv2.htm
det_1435;Coldcorp Inc. (2016) Annual Report 2015;https://s24.q4cdn.com/382246808/files/doc_financials/mda/annual/Annual-Report-SEDAR-1.pdf
det_1436;Companhia Vale Do Rio Doce (2005) Annual Report 2004;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2004_i.pdf
det_1437;Vale (2018) Production and Sales in 4Q17;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/2017%204Q%20Production%20Report_i.pdf
det_1438;Vale (2016) Production in 4Q15;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T15_i.pdf
det_1439;Vale (2014) Production Report 2013;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T13_i.pdf
det_1440;Vale (2012) Production Report 2011;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T11_i.pdf
det_1441;Vale (2010) Production Report 2009;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T09i.pdf
det_1442;Vale (2008) Production Report 2007;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T07i.pdf
det_1443;Vale (2006) Production Report 2005;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/tabelas_rp_4T05_i.xls
det_1444;Vale (2004) Production Report 2003;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/ProductionReport2003in.pdf
det_1445;Companhia Vale Do Rio Doce (2009) Annual Report 2008;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2008_i.pdf
det_1446;Inco Limited (2006) Annual Report 2005;https://www.sec.gov/Archives/edgar/data/49996/000090956706000403/o30490e10vk.htm
det_1447;Norsk Hydro (2020) Annual Report 2019;https://www.hydro.com/Document/Index?name=Annual%20report%202019%20web.pdf&id=506433
det_1448;Norsk Hydro (2019) Annual Report 2018;https://www.hydro.com/Document/Index?name=2018%20Annual%20report.pdf&id=8525
det_1449;Norsk Hydro (2018) Annual Report 2017;https://www.hydro.com/Document/Index?name=Hydro%20Annual%20Report%202017&id=3097
det_1450;Norsk Hydro (2017) Annual Report 2016;https://www.hydro.com/Document/Index?name=Hydro%20Annual%20Report%202016.pdf&id=7363
det_1451;Norsk Hydro (2016) Annual Report 2015;https://www.hydro.com/en-DE/investors/reports-and-presentations/quarterly-reports/previous-reports/
det_1452;Norsk Hydro (2015) Annual Report 2014;https://www.hydro.com/en-DE/investors/reports-and-presentations/quarterly-reports/previous-reports/
det_1453;Norsk Hydro (2014) Annual Report 2013;https://www.hydro.com/en-DE/investors/reports-and-presentations/quarterly-reports/previous-reports/
det_1454;Norsk Hydro (2013) Annual Report 2012;https://www.hydro.com/en-DE/investors/reports-and-presentations/quarterly-reports/previous-reports/
det_1455;Norsk Hydro (2012) Annual Report 2011;https://www.hydro.com/en-DE/investors/reports-and-presentations/quarterly-reports/previous-reports/
det_1456;Lundin Mining Corp. (2020) Annual MD&A and Financial Statements 2019;https://www.lundinmining.com/site/assets/files/8020/lundin_mining_-_2019_ye.pdf
det_1457;Lundin Mining Corp. (2018) Annual MD&A and Financial Statements 2017;https://www.lundinmining.com/site/assets/files/3725/2017ye.pdf
det_1458;Lundin Mining Corp. (2016) Annual MD&A and Financial Statements 2015;https://www.lundinmining.com/site/assets/files/3752/2015ye.pdf
det_1459;Phelps Dodge Corp. (2004) Annual Form 10-K Report 2003;https://www.sec.gov/Archives/edgar/data/78066/000095015304000475/p68822e10vk.htm#176
det_1460;BHP Group (2019) Operational Review for the year ended 30 June 2019;https://www.bhp.com/-/media/documents/media/reports-and-presentations/2019/190717_bhpoperationalreviewfortheyearended30june2019.pdf?la=en
det_1461;BHP Group (2017) Operational Review for the year ended 30 June 2017;https://www.bhp.com/-/media/documents/media/reports-and-presentations/2017/170719_operationalreviewfortheyearended30june2017.pdf?la=en
det_1462;BHP Billiton (2015) Operational Review for the year ended 30 June 2015;https://www.bhp.com/-/media/bhp/documents/investors/reports/2015/150722_bhpbillitonoperationalreviewfortheyearended30june2015.pdf?la=en
det_1463;BHP Billiton (2013) Production Report for the year ended 30 June 2013;https://www.bhp.com/-/media/bhp/documents/investors/reports/2013/130717_bhpbillitonproductionreportfortheyearended30june2013.pdf?la=en
det_1464;BHP Billiton (2011) Production Report for the year ended 30 June 2011;https://www.bhp.com/-/media/bhp/documents/investors/reports/2011/110720_bhp-billiton-production-report-for-the-year-ended-30-june-2011.pdf?la=en
det_1465;BHP Billiton (2009) Quarterly Production Report - June 2009;https://www.bhp.com/-/media/bhp/documents/investors/reports/2009/2009q2productionreport.pdf?la=en
