source;source_country_id;alphanumiso
IEA_Code;SUR;SUR740
IEA_Code;SSD;SSD728
IEA_Code;FSUND;SUN810
IEA_Code;SLV;SLV222
IEA_Code;SYR;SYR760
IEA_Code;TGO;TGO768
IEA_Code;THA;THA764
IEA_Code;TJK;TJK762
IEA_Code;TKM;TKM795
IEA_Code;TUN;TUN788
IEA_Code;TUR;TUR792
IEA_Code;TTO;TTO780
IEA_Code;TWN;TWN158
IEA_Code;TZA;TZA834
IEA_Code;UKR;UKR804
IEA_Code;USA;USA840
IEA_Code;URY;URY858
IEA_Code;UZB;UZB860
IEA_Code;VEN;VEN862
IEA_Code;VNM;VNM704
IEA_Code;YEM;YEM887
IEA_Code;YUGOND;YUG890
IEA_Code;ZAF;ZAF710
IEA_Code;ZMB;ZMB894
IEA_Code;ZWE;ZWE716
IEA_Code;CUW;CUW531
IEA_Code;HKG;HKG344
IEA_Code;MNE;MNE499
IEA_Code;KOSOVO;UNK000
