mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
DeGrussa;NA;O.bulk;NA;2017;NA
DeGrussa;NA;O.bulk;NA;2016;NA
DeGrussa;NA;O.bulk;NA;2015;NA
DeGrussa;NA;O.bulk;NA;2014;NA
DeGrussa;NA;O.bulk;NA;2013;NA
Edikan;NA;NA;NA;2014;NA
Edikan;NA;NA;NA;2013;NA
Edikan;NA;NA;NA;2012;NA
El Soldado;NA;O.Cu;NA;2018;NA
El Soldado;NA;O.Cu;NA;2017;NA
El Soldado;NA;O.Cu;NA;2016;NA
El Soldado;NA;O.Cu;NA;2015;NA
El Soldado;NA;O.Cu;NA;2014;NA
El Soldado;NA;O.Cu;NA;2013;NA
El Soldado;NA;O.sul;NA;2012;NA
El Soldado;NA;O.oxi;NA;2012;NA
El Soldado;NA;O.sul;NA;2011;NA
El Soldado;NA;O.oxi;NA;2011;NA
El Soldado;NA;O.oxi;NA;2010;NA
El Soldado;NA;O.sul;NA;2010;NA
El Soldado;NA;O.oxi;NA;2009;NA
El Soldado;NA;O.sul;NA;2009;NA
El Soldado;NA;O.oxi;NA;2008;NA
El Soldado;NA;O.sul;NA;2008;NA
El Soldado;NA;O.oxi;NA;2007;NA
El Soldado;NA;O.sul;NA;2007;NA
El Soldado;NA;O.oxi;NA;2006;NA
El Soldado;NA;O.sul;NA;2006;NA
El Soldado;NA;O.oxi;NA;2005;NA
El Soldado;NA;O.sul;NA;2005;NA
El Soldado;NA;O.oxi;NA;2004;NA
El Soldado;NA;O.sul;NA;2004;NA
El Soldado;NA;O.oxi;NA;2003;NA
El Soldado;NA;O.sul;NA;2003;NA
El Volcan;NA;Con.Fe;NA;2010;NA
Fernandinho;NA;Con.Fe;NA;2016;NA
Fernandinho;NA;Con.Fe;NA;2015;NA
Fernandinho;NA;Con.Fe;NA;2010;NA
FNI Cagdianao;CAGA 2;O.Ni;NA;2014;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2014;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2013;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2012;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2011;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2010;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2009;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2008;NA
FNI Cagdianao;CAGA 4;O.Ni;NA;2007;NA
Fresnillo;NA;NA;Underground;2018;NA
Fresnillo;NA;NA;Underground;2017;NA
Fresnillo;NA;NA;Underground;2016;NA
Fresnillo;NA;NA;Underground;2015;NA
Fresnillo;NA;NA;Underground;2014;NA
Fresnillo;NA;NA;Underground;2013;NA
Fresnillo;NA;NA;Underground;2012;NA
Fresnillo;NA;NA;Underground;2011;NA
Fresnillo;NA;NA;Underground;2010;NA
Galena;NA;O.Ag;NA;2005;NA
Galena;NA;O.Ag;NA;2004;NA
Galena;NA;O.Ag;NA;2003;NA
Galena;NA;O.Ag;NA;2002;NA
Galena;NA;O.Ag;NA;2001;NA
Galena;NA;O.Ag;NA;2000;NA
Gertrude;NA;O.bulk;NA;2011;NA
Gertrude;NA;O.bulk;NA;2010;NA
Gertrude;NA;O.bulk;NA;2009;NA
Golden Grove;NA;O.bulk;NA;2011;NA
Golden Grove;NA;O.bulk;NA;2010;NA
Gosowong;NA;NA;NA;2018;NA
Gosowong;NA;NA;NA;2017;NA
Gosowong;NA;NA;NA;2016;NA
Gosowong;NA;NA;NA;2015;NA
Gosowong;NA;NA;NA;2014;NA
Gosowong;NA;NA;NA;2013;NA
Gosowong;NA;NA;NA;2012;NA
Gosowong;NA;NA;NA;2007;NA
Gosowong;NA;NA;NA;2005;NA
Gualcamayo;NA;NA;NA;2016;leaching
Gualcamayo;NA;NA;NA;2015;leaching
Gualcamayo;NA;NA;NA;2014;leaching
Gualcamayo;NA;NA;NA;2013;leaching
Gualcamayo;NA;NA;NA;2012;leaching
Gualcamayo;NA;NA;NA;2011;leaching
Gualcamayo;NA;NA;NA;2010;leaching
Gualcamayo;NA;NA;NA;2009;leaching
Guelb Moghrein;NA;Con.Fe;NA;2018;NA
Guelb Moghrein;NA;NA;NA;2006;NA
Hibbing;NA;O.Fe;NA;2019;NA
Hibbing;NA;O.Fe;NA;2018;NA
Hibbing;NA;O.Fe;NA;2017;NA
Hibbing;NA;O.Fe;NA;2016;NA
Hibbing;NA;O.Fe;NA;2015;NA
Hibbing;NA;O.Fe;NA;2014;NA
Hibbing;NA;O.Fe;NA;2013;NA
Hibbing;NA;O.Fe;NA;2012;NA
Hibbing;NA;O.Fe;NA;2011;NA
Hibbing;NA;Con.Fe;NA;2010;NA
Hibbing;NA;Con.Fe;NA;2009;NA
Hibbing;NA;Con.Fe;NA;2008;NA
Hibbing;NA;Con.Fe;NA;2007;NA
Hibbing;NA;Con.Fe;NA;2006;NA
Hibbing;NA;Con.Fe;NA;2005;NA
Hibbing;NA;Con.Fe;NA;2004;NA
Hibbing;NA;Con.Fe;NA;2003;NA
Hibbing;NA;Con.Fe;NA;2002;NA
Hibbing;NA;Con.Fe;NA;2001;NA
Hibbing;NA;Con.Fe;NA;2000;NA
Hidden Valley;NA;NA;NA;2016;NA
Hidden Valley;NA;NA;NA;2014;NA
Hidden Valley;NA;NA;NA;2013;NA
Hidden Valley;NA;NA;NA;2012;NA
Highland Valley Copper;NA;O.Cu;NA;2018;NA
Highland Valley Copper;NA;O.Cu;NA;2017;NA
Highland Valley Copper;NA;O.Cu;NA;2016;NA
Highland Valley Copper;NA;O.Cu;NA;2015;NA
Highland Valley Copper;NA;O.Cu;NA;2014;NA
Highland Valley Copper;NA;O.Cu;NA;2013;NA
Highland Valley Copper;NA;O.Cu;NA;2012;NA
Highland Valley Copper;NA;O.Cu;NA;2011;NA
Highland Valley Copper;NA;O.Cu;NA;2010;NA
Highland Valley Copper;NA;O.Cu;NA;2007;NA
Highland Valley Copper;NA;O.Cu;NA;2006;NA
Highland Valley Copper;NA;O.Cu;NA;2005;NA
Highland Valley Copper;NA;O.Cu;NA;2004;NA
Highland Valley Copper;NA;O.Cu;NA;2003;NA
Highland Valley Copper;NA;O.Cu;NA;2002;NA
Highland Valley Copper;NA;O.Cu;NA;2001;NA
Highland Valley Copper;NA;O.Cu;NA;2000;NA
Iduapriem;NA;O.Au;Open pit;2005;NA
Iduapriem;NA;O.Au;Open pit;2004;NA
Iluka Virginia;NA;O.bulk;NA;2015;NA
Iluka Virginia;NA;O.bulk;NA;2014;NA
Iluka Virginia;NA;O.bulk;NA;2013;NA
Iluka Virginia;NA;O.bulk;NA;2012;NA
Iluka Virginia;NA;O.bulk;NA;2011;NA
Iluka Virginia;NA;O.bulk;NA;2010;NA
Iluka Western Australia;Cataby;O.bulk;NA;2019;NA
