mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Mettiki Complex;;;Mountain View;Buck Mountain Vein;3;Mountain View;Buck Mountain Vein Slope;3
Mettiki Complex;;;Mountain View;Buck Mountain Vein;3;Mountain View;Buck Mountain Vein;3
Mettiki Complex;;;Mountain View;Buck Mountain Vein;3;Mountain View;Mountain View Mine;3
Mettiki Complex;;;Mountain View;Mountain View Mine;3;Mountain View;Buck Mountain Vein Slope;3
Mettiki Complex;;;Mountain View;Mountain View Mine;3;Mountain View;Buck Mountain Vein;3
Mettiki Complex;;;Mountain View;Mountain View Mine;3;Mountain View;Mountain View Mine;3
Midland Trail;Midland Trail Mine No. 1;3;Blue Creek;Blue Creek Mine;3;;;
Midland Trail;Midland Trail Mine No. 1;3;Blue Creek;Blue Creek No. 2 Mine;3;;;
Midland Trail;Midland Trail Mine No. 1;3;Blue Creek;Blue Creek No. 1 Ug Mine;3;;;
Midland Trail;Midland Trail Mine No. 4;3;Blue Creek;Blue Creek Mine;3;;;
Midland Trail;Midland Trail Mine No. 4;3;Blue Creek;Blue Creek No. 2 Mine;3;;;
Midland Trail;Midland Trail Mine No. 4;3;Blue Creek;Blue Creek No. 1 Ug Mine;3;;;
Midland Trail;Midland Trail Mine No 2;3;Blue Creek;Blue Creek Mine;3;;;
Midland Trail;Midland Trail Mine No 2;3;Blue Creek;Blue Creek No. 2 Mine;3;;;
Midland Trail;Midland Trail Mine No 2;3;Blue Creek;Blue Creek No. 1 Ug Mine;3;;;
Miles Branch;Mill Branch;6;;;;;;
Miles Branch;Mill Branch Mine;6;;;;;;
Miles Branch;Cherries Branch Surface Mine;6;;;;;;
Miles Branch;Mill Branch Operation Mine No;6;;;;;;
Miles Branch;Miles Branch Mine;6;;;;;;
Miles Branch;Whites Branch;6;;;;;;
Mill Creek;Mill Creek Surface;7;;;;;;
Mill Creek;Mill Creek 1;7;;;;;;
Mill Creek;Town Hill Creek Surface Mine N;7;;;;;;
Mill Creek;Hill Creek Surface;7;;;;;;
Mill Creek;Mill Creek #1 Surface Mine;7;;;;;;
Mill Creek;Mill Creek Mining, Inc. #1 Str;7;;;;;;
Mill Creek;Hill Creek Highwall;7;;;;;;
Mine 84;Mine 84;1;;;;;;
Morenci;Lorencito Canyon Mine;1;;;;;;
Mt Sterling;Mount Sterling Branch;1;East Kentucky, Peelpoplar;;;;;
Muskingum;Muskingum  Mine;1;;;;;;
Navajo;Navajo Mine;2;;;;;;
Navajo;Navaro Surface Mine Operation;2;;;;;;
Noble;Noble Mine #1;3;;;;;;
Noble;Noble Mine # 2;3;;;;;;
Noble;Noble Mine #2;3;;;;;;
North Antelope Rochelle;North Antelope Rochelle Mine;1;;;;;;
Oak Grove;Oak Grove Mine;1;;;;;;
Paint Creek;Pine Creek Mine;2;Winchester, Samples;;;Samples;Samples Surface Mine;2
Paint Creek;Pine Creek Mine;2;Winchester, Samples;;;Samples;Samples Mine Highwall Miner;2
Paint Creek;Pine Creek Surface;2;Winchester, Samples;;;Samples;Samples Surface Mine;2
Paint Creek;Pine Creek Surface;2;Winchester, Samples;;;Samples;Samples Mine Highwall Miner;2
Panther;Panther Mine;7;;;;;;
Panther;Panther Mine No. 3;7;;;;;;
Panther;Panther Lick;7;;;;;;
Panther;D-11 Panther;7;;;;;;
Panther;Panther Mine #4a;7;;;;;;
Panther;Panther Creek Mine;7;;;;;;
Panther;Panther Eagle Mine;7;;;;;;
Pennsylvania Mining Complex;;;;;;Bailey;Bailey Creek;2
Pennsylvania Mining Complex;;;;;;Bailey;Bailey Mine;2
Pennsylvania Mining Complex;;;;;;Enlow Fork;Enlow Fork Mine;1
Pennsylvania Mining Complex;;;;;;Harvey;First Creek/Harveyton Aml Refu;2
Pennsylvania Mining Complex;;;;;;Harvey;Harvey Mine;2
Phoenix;Phoenix;1;;;;;;
Pinnacle Complex;;;;;;Pinnacle;Pinnacle;4
Pinnacle Complex;;;;;;Pinnacle;Pinnacle Mine;4
Pinnacle Complex;;;;;;Pinnacle;Pinnacle Creek Auger;4
Pinnacle Complex;;;;;;Pinnacle;Brc Pinnacle, Llc;4
Pinnacle Complex;;;;;;Green Ridge;Green Ridge #1 Mine;1
Pogo;Poor Branch Surface #1;2;Pogo Creek;;;;;
Pogo;Potomac-North;2;Pogo Creek;;;;;
Raven;Raven Mine #2;3;Slones Branch, Lige Hollow;;;;;
Raven;Raven Mine #1;3;Slones Branch, Lige Hollow;;;;;
Raven;Davenport Coal Co, Llc.;3;Slones Branch, Lige Hollow;;;;;
Rawhide;Rawhide Mine;1;;;;;;
Red Hills;Red Hills Mine;1;Mississippi Lignite Mining Company;;;;;
Remington;;;Stockburg No. 2;Stockburg No 2;1;Stockburg 2;Stockburg #1;2
Remington;;;Stockburg No. 2;Stockburg No 2;1;Stockburg 2;Stockburg No 2;2
Remington;;;Stockburg No. 2;Stockburg No 2;1;Deskins;Deskins Mine;1
River View Complex;;;River View Coal;River View Carbon Recovery;1;;;
Robinson;Little Robinson;1;;;;;;
Rochester;Rochester Mills Strip Mine;1;;;;;;
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Rocklick;Rocklick Coalburg Deep Mine;1
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Parrish Mine;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Cravat Strip - Harrison;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Harrison Co Auger;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Ccu Harrison Strip;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Harris Branch/Tackett Creek Su;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Harris No 1;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;Harrison County Mine;8
Rocklick;Rocklick Coalburg Deep Mine;1;Black Oak, Gateway Eagle, Farley Eagle, Harris No. 1;;;Harris;South Harrison Mine;8
Round Mountain;Round Mountain;1;;;;;;
Safford;Trafford Pit;1;;;;;;
San Juan;San Juan Mine And Plant;2;;;;;;
San Juan;San Juan Mine 1;2;;;;;;
San Miguel;San Miguel Lignite Mine;1;;;;;;
Savage;Savage Mine;2;Knive River Mine;;;;;
Savage;Kuperavage Ent Inc/Ta Tuscaror;2;Knive River Mine;;;;;
Seneca;Seneca;1;;;;;;
Shoal Creek;Shoal Creek Mine;3;;;;;;
Shoal Creek;Short Creek Strip;3;;;;;;
Shoal Creek;Coal Creek Mine;3;;;;;;
Skyline;Skyline Mine #3;1;;;;;;
Somerville;Somerville;1;;;;;;
South Hallsville No. 1;South Hallsville No 1 Mine;1;The Sabine Mining Company;;;;;
Spring Creek;Little Spring Creek Mine;2;;;;;;
Spring Creek;Spring Creek Coal Company;2;;;;;;
Sufco;Sufco;1;;;;;;
Sycamore and Imperial;;;;;;Imperial;Imperial Hollow Mine;2
Sycamore and Imperial;;;;;;Imperial;Imperial Mine;2
Sycamore and Imperial;;;;;;Sago;Saragossa Mine;3
Sycamore and Imperial;;;;;;Sago;Peabody Sage Creek Mine;3
Sycamore and Imperial;;;;;;Sago;Sago Mine;3
Tunnel Ridge Complex;;;;;;Prep plant;Wakenva Prep Plant;1
Tuscarawas;Ccu Tuscarawas Strip;1;East Canton, Garrett, Schupp, Hunt;;;;;
Tusky;Tusky;1;;;;;;
Viking;Viking Mine - Corning Pit;2;;;;Corning;Viking Mine - Corning Pit;2
Viking;Viking Mine - Corning Pit;2;;;;Corning;Horning Deep Mine;2
Viking;Viking Mine - Corning Pit;2;;;;Knot;Knob Strip Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Viking Mine - Knox Pit;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;S-15 Flag Knob;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Knott County Auger 1;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Knob Bottom #1;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Knott County Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;North Knottsville Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;S-16 Gobblers Knob;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Round Knob;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;G-P Knoxdale Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Knob Creek;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Beacon Knob Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Blue Knob Surface Mine;14
Viking;Viking Mine - Corning Pit;2;;;;Knot;Pollock Knob Surface Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Corning;Viking Mine - Corning Pit;2
Viking;Viking Mine - Knox Pit;2;;;;Corning;Horning Deep Mine;2
