id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
260,COM00070.01,Smelter,2015,,,Aluminium,59000,,,,,,,det_1075,
261,COM00070.01,Smelter,2016,,,Aluminium,60000,,,,,,,det_1074,
262,COM00070.01,Smelter,2017,,,Aluminium,57000,,,,,,,det_1074,
263,COM00075.00,Smelter,2002,Copper concentrate and scrap,1016700,Copper anode,298000,,,,,,,det_1530,
264,COM00075.00,Smelter,2003,Copper concentrate and scrap,964400,Copper anode,290300,,,,,,,det_1530,
265,COM00075.00,Smelter,2004,Copper concentrate and scrap,768100,Copper anode,224300,,,,,,,det_1551,
266,COM00075.00,Smelter,2005,Copper concentrate and scrap,975400,Copper anode,284200,,,,,,,det_1551,
267,COM00075.00,Smelter,2006,Copper concentrate and scrap,953700,Copper anode,263700,,,,,,,det_1550,
268,COM00075.00,Refinery,2007,Copper anode,,Copper cathode,243600,,,,,,,det_1380,
269,COM00075.00,Smelter,2007,Copper concentrate and scrap,952300,Copper anode,256100,,,,,,,det_1380,
270,COM00075.00,Refinery,2008,Copper anode,,Copper cathode,257100,,,,,,,det_1380,
271,COM00075.00,Smelter,2008,Copper concentrate and scrap,1028100,Copper anode,259900,,,,,,,det_1380,
272,COM00075.00,Refinery,2009,Copper anode,,Copper cathode,256600,,,,,,,det_1549,
273,COM00075.00,Smelter,2009,Copper concentrate and scrap,1000700,Copper anode,269000,,,,,,,det_1549,
274,COM00075.00,Refinery,2010,Copper anode,,Copper cathode,253000,,,,,,,det_1548,
275,COM00075.00,Smelter,2010,Copper concentrate and scrap,980700,Copper anode,255000,,,,,,,det_1548,
276,COM00075.00,Refinery,2011,Copper anode,,Copper cathode,247400,,,,,,,det_1548,
277,COM00075.00,Smelter,2011,Copper concentrate and scrap,935700,Copper anode,253000,,,,,,,det_1548,
278,COM00075.00,Refinery,2012,Copper anode,,Copper cathode,274400,,,,,,,det_1547,
279,COM00075.00,Smelter,2012,Copper concentrate and scrap,1100000,Copper anode,295200,,,,,,,det_1547,
280,COM00075.00,Refinery,2013,Copper anode,,Copper cathode,226000,,,,,,,det_1379,
281,COM00075.00,Smelter,2013,Copper concentrate and scrap,,Copper anode,224300,,,,,,,det_1379,
282,COM00075.00,Refinery,2014,Copper anode,,Copper cathode,283800,,,,,,,det_1527,
283,COM00075.00,Smelter,2014,Copper concentrate and scrap,,Copper anode,294100,,,,,,,det_1527,
284,COM00075.00,Refinery,2015,Copper anode,,Copper cathode,284800,,,,,,,det_1527,
285,COM00075.00,Smelter,2015,Copper concentrate and scrap,,Copper anode,293100,,,,,,,det_1527,
286,COM00075.00,Refinery,2016,Copper anode,,Copper cathode,285800,,,,,,,det_1527,
287,COM00075.00,Smelter,2016,Copper concentrate and scrap,,Copper anode,296900,,,,,,,det_1527,
288,COM00075.00,Refinery,2017,Copper anode,,Copper cathode,271400,,,,,,,det_1378,
289,COM00075.00,Smelter,2017,Copper concentrate and scrap,,Copper anode,283100,,,,,,,det_1378,
290,COM00075.00,Refinery,2018,Copper anode,,Copper cathode,283100,,,,,,,det_1378,
291,COM00075.00,Smelter,2018,Copper concentrate and scrap,,Copper anode,295300,,,,,,,det_1378,
292,COM00075.00,Refinery,2019,Copper anode,,Copper cathode,268300,,,,,,,det_1378,
293,COM00075.00,Smelter,2019,Copper concentrate and scrap,,Copper anode,272000,,,,,,,det_1378,
294,COM00076.00,Refinery,2008,Bauxite,,Alumina,1890000,,,,,,,det_1789,
295,COM00076.00,Refinery,2009,Bauxite,,Alumina,1245000,,,,,,,det_1789,
296,COM00076.00,Refinery,2010,Bauxite,,Alumina,1850000,,,,,,,det_1852,
297,COM00076.00,Refinery,2011,Bauxite,,Alumina,1927000,,,,,,,det_1852,
298,COM00076.00,Refinery,2012,Bauxite,,Alumina,1926000,,,,,,,det_1801,
299,COM00076.00,Refinery,2013,Bauxite,,Alumina,1935000,,,,,,,det_1801,
